sensor,rank_type,unique_id,score
APC_Position,bottom,20240514102002_D4153530-21,-3.4319525
APC_Position,bottom,20240513231903_D4153510-11,-3.4305573
APC_Position,bottom,20240512091712_D4118680-25,-3.4240937
APC_Position,bottom,20240510140029_D403E2G0-24,-3.3971083
APC_Position,bottom,20240118064924_D3508550-15,-3.394967
APC_Position,bottom,20240513125225_D4142730-15,-3.3905427
APC_Position,bottom,20240405185156_D4101180-17,-3.377287
APC_Position,bottom,20240510054330_D403F3U0-21,-3.3771977
APC_Position,bottom,20240410083620_D401EN40-20,-3.3770366
APC_Position,bottom,20240510141522_D4142860-25,-3.3727102
APC_Position,top,20240710201133_D4198730-14,-2.2247396
APC_Position,top,20240711125339_D414E730-8,-2.223433
APC_Position,top,20240707100254_D416FRQ0-2,-2.2222853
APC_Position,top,20240708073420_D4231520-3,-2.217812
APC_Position,top,20240705124923_D4229950-16,-2.2162874
APC_Position,top,20240709173845_D4288870-22,-2.2150738
APC_Position,top,20240708034446_D427EF30-22,-2.2137764
APC_Position,top,20240430045502_D409FE80-9,-2.2095556
APC_Position,top,20240420223405_D4121740-9,-2.209468
APC_Position,top,20240707132705_D420EPA0-7,-2.2074142
APC_Pressure,bottom,20240513231903_D4153510-11,-3.7465076
APC_Pressure,bottom,20240514102002_D4153530-21,-3.7403529
APC_Pressure,bottom,20240513125225_D4142730-15,-3.739456
APC_Pressure,bottom,20240510174823_D404Y3G0-22,-3.716415
APC_Pressure,bottom,20240511173944_D4142880-15,-3.7118835
APC_Pressure,bottom,20240419023337_D4121800-13,-3.710023
APC_Pressure,bottom,20240512091712_D4118680-25,-3.7078516
APC_Pressure,bottom,20240513023907_D4142540-23,-3.6994684
APC_Pressure,bottom,20240511021945_D4158500-23,-3.696861
APC_Pressure,bottom,20240513023907_D4142540-17,-3.6963308
APC_Pressure,top,20240416164107_D4118010-1,-2.7869487
APC_Pressure,top,20240421170257_D350FV60-1,-2.786029
APC_Pressure,top,20240425215859_D4118880-9,-2.7760825
APC_Pressure,top,20240311210432_D3458750-13,-2.7681131
APC_Pressure,top,20240327054925_D4088990C-3,-2.7654612
APC_Pressure,top,20240413020736_D4079340-1,-2.7464418
APC_Pressure,top,20240408005024_D4069850B-8,-2.7418952
APC_Pressure,top,20240428012849_D417YH40-15,-2.723037
APC_Pressure,top,20240229042452_D3518490-1,-2.6615565
APC_Pressure,top,20240407014713_D347EFG0-8,-2.581389
Gas1_Monitor,bottom,20240227145523_D4048170-10,-4.5014935
Gas1_Monitor,bottom,20240203175114_D337F7S0-22,-4.4882016
Gas1_Monitor,bottom,20240510215245_D4108380-12,-4.4680185
Gas1_Monitor,bottom,20240428015455_D349EM20-15,-4.4564524
Gas1_Monitor,bottom,20240505194349_D409EJR0-20,-4.449988
Gas1_Monitor,bottom,20240425062038_D4132080-5,-4.4466257
Gas1_Monitor,bottom,20240507130320_D4142870-13,-4.4447746
Gas1_Monitor,bottom,20240108070849_D352RS00-21,-4.4447327
Gas1_Monitor,bottom,20240508002406_D409Y8C0-14,-4.412265
Gas1_Monitor,bottom,20240306174048_D408Y7B0H-3,-4.4075036
Gas1_Monitor,top,20240201053850_D3528230-8,-3.3591561
Gas1_Monitor,top,20240229154740_D402ERE0-8,-3.3585875
Gas1_Monitor,top,20240120210210_D344E510-11,-3.357001
Gas1_Monitor,top,20240118045529_D3511600-21,-3.3484256
Gas1_Monitor,top,20240117180031_D403E190-14,-3.3350918
Gas1_Monitor,top,20240106131502_D336E9Q0-2,-3.3322868
Gas1_Monitor,top,20240202073851_D3518160-11,-3.329816
Gas1_Monitor,top,20240121212526_D3521700-3,-3.3199875
Gas1_Monitor,top,20240106082008_D3488690-5,-3.3135834
Gas1_Monitor,top,20240405092307_D4096340-9,-3.3110635
Gas6_Monitor,bottom,20240130074312_D3521660-13,-2.9681795
Gas6_Monitor,bottom,20240204164354_D3519200-8,-2.9550765
Gas6_Monitor,bottom,20240323032354_D4075740-23,-2.9543319
Gas6_Monitor,bottom,20240419023337_D4121800-13,-2.9399827
Gas6_Monitor,bottom,20240321161809_D4088540-19,-2.936981
Gas6_Monitor,bottom,20240220143337_D4044670-7,-2.934614
